,SOL,AMBIENT_TEMP_min,AMBIENT_TEMP_max,PRESSURE_min,PRESSURE_max,VOLUME_MIXING_RATIO_min,VOLUME_MIXING_RATIO_max,LOCAL_RELATIVE_HUMIDITY_min,LOCAL_RELATIVE_HUMIDITY_max,MARS_MONTH,MARS_YEAR,MARS_SOL_IN_MONTH
65,65,194.58,268.16,742.26,830.39,23.42,7342.05,0.68,11.73,1,0,10
66,66,187.5,273.43,743.8,830.21,24.12,5427.36,0.49,15.59,1,0,11
67,67,192.63,272.76,745.68,833.27,29.24,5366.19,0.45,10.38,1,0,12
68,68,200.98,273.0,745.6,833.75,26.83,5541.46,0.4,13.71,1,0,13
69,69,196.31,273.7,747.68,834.04,26.43,5522.97,0.36,13.53,1,0,14
70,70,200.45,272.47,748.09,835.71,21.33,5430.09,0.35,13.63,1,0,15
71,71,199.17,270.65,749.49,836.98,25.93,5415.11,0.31,11.94,1,0,16
72,72,196.11,271.61,752.03,836.36,23.97,4770.25,0.29,11.51,1,0,17
73,73,198.88,273.99,752.84,838.5,24.81,9732.99,0.41,9.09,1,0,18
74,74,193.14,273.99,753.66,840.63,19.51,8011.99,0.62,12.91,1,0,19
75,75,203.52,272.68,756.06,839.95,21.95,8469.03,0.5,11.23,1,0,20
76,76,201.82,273.12,760.79,841.89,19.5,7786.77,0.48,14.05,1,0,21
77,77,202.41,268.71,761.72,845.6,22.65,6046.18,0.49,12.84,1,0,22
78,78,198.06,272.21,763.77,843.64,22.06,5625.39,0.46,12.13,1,0,23
79,79,196.57,271.16,768.22,846.66,26.54,5775.52,0.41,10.38,1,0,24
80,80,199.85,272.62,766.96,851.91,19.92,5252.42,0.4,11.62,1,0,25
81,81,202.01,272.82,769.65,850.52,21.18,10691.2,0.42,11.88,1,0,26
82,82,198.53,271.4,775.12,853.46,23.09,8905.79,0.57,12.85,1,0,27
83,83,199.03,270.38,772.63,856.87,17.39,6043.36,0.58,11.33,1,0,28
84,84,201.64,273.21,773.76,855.96,18.69,7380.7,0.45,10.76,1,0,29
85,85,193.03,274.1,775.45,860.43,21.08,7002.43,0.42,9.07,1,0,30
86,86,203.04,274.35,772.47,862.2,19.56,5456.92,0.42,9.53,1,0,31
87,87,201.89,275.6,778.6,864.7,18.27,5891.84,0.36,8.6,1,0,32
88,88,205.87,269.88,775.54,872.13,21.88,5122.67,0.37,8.76,1,0,33
89,89,202.11,272.38,775.72,871.39,21.51,5191.69,0.34,9.03,1,0,34
90,90,204.82,271.95,775.71,870.25,26.68,5100.6,0.31,7.24,1,0,35
91,91,206.39,272.65,771.4,866.11,24.74,10467.0,0.34,6.08,1,0,36
92,92,206.61,270.5,776.09,872.59,23.54,7345.33,0.59,6.81,1,0,37
93,93,204.04,270.21,780.45,869.41,28.83,4835.79,0.64,8.09,1,0,38
94,94,204.71,270.89,783.57,870.39,35.63,4272.9,0.63,8.82,1,0,39
95,95,203.78,268.06,781.76,883.68,33.83,3753.9,0.63,8.34,1,0,40
96,96,206.85,266.81,774.58,895.79,33.67,4389.03,0.64,7.58,1,0,41
97,97,205.15,264.69,773.82,897.38,40.08,3409.76,0.76,6.9,1,0,42
98,98,204.29,269.11,776.96,899.47,37.48,3915.56,0.65,6.82,1,0,43
99,99,207.74,269.51,774.22,899.48,31.55,3974.77,0.62,8.14,1,0,44
100,100,207.59,270.2,777.2,893.63,31.44,4133.65,0.56,6.57,1,0,45
101,101,206.52,268.16,782.8,897.93,31.07,3305.31,0.64,7.1,1,0,46
102,102,207.08,269.38,785.09,897.04,33.55,3584.13,0.6,8.0,1,0,47
103,103,203.76,264.45,791.12,898.87,29.94,5304.33,0.68,7.12,1,0,48
104,104,205.62,267.66,794.98,901.58,30.4,4339.92,0.9,8.53,1,0,49
105,105,203.59,268.05,795.14,904.6,32.95,4173.01,0.82,7.66,1,0,50
106,106,206.07,264.61,794.8,906.54,31.2,3673.58,0.82,7.83,1,0,51
107,107,202.68,266.89,797.83,907.76,34.75,3906.56,0.74,8.88,1,0,52
108,108,204.18,269.29,799.86,907.89,34.39,3821.44,0.7,7.72,1,0,53
109,109,205.17,267.57,804.56,907.57,33.21,3387.68,0.72,6.77,1,0,54
110,110,205.61,267.88,804.15,912.71,34.38,3425.78,0.65,8.52,2,0,0
111,111,206.21,269.4,807.51,913.93,31.48,4111.62,0.56,7.7,2,0,1
112,112,206.48,272.72,808.28,916.63,31.63,5510.58,0.47,8.41,2,0,2
113,113,203.67,271.06,808.59,916.5,39.07,4655.69,0.84,6.61,2,0,3
114,114,202.44,264.34,814.71,920.09,37.0,3435.92,0.87,7.34,2,0,4
115,115,206.04,269.25,812.78,921.12,37.23,3580.99,0.79,6.35,2,0,5
116,116,204.74,267.53,820.11,922.2,30.26,5420.82,0.56,6.89,2,0,6
117,117,203.14,268.94,819.3,926.9,33.02,5291.29,0.49,8.28,2,0,7
118,118,201.15,272.6,826.17,926.9,32.64,3966.83,0.57,7.94,2,0,8
119,119,206.81,270.52,821.21,930.02,31.89,3469.06,0.58,9.03,2,0,9
120,120,197.26,271.45,824.08,932.38,41.64,3407.77,0.56,5.92,2,0,10
121,121,198.31,263.01,823.58,935.94,39.44,3969.74,0.45,5.94,2,0,11
122,122,205.87,264.46,827.18,934.48,32.22,6408.9,0.44,6.14,2,0,12
123,123,199.64,266.83,826.1,937.91,36.38,6159.16,0.65,9.79,2,0,13
124,124,205.7,273.27,829.03,937.7,37.49,6181.89,0.57,9.38,2,0,14
125,125,202.05,272.79,832.24,940.11,30.44,4814.03,0.55,9.57,2,0,15
126,126,202.67,264.03,832.11,938.33,36.49,5648.63,0.63,9.63,2,0,16
127,127,206.2,270.93,838.5,941.12,36.7,5151.5,0.6,9.22,2,0,17
128,128,204.97,271.94,834.98,938.79,42.09,5162.24,0.58,9.16,2,0,18
129,129,207.04,272.1,840.3,941.18,37.66,4997.86,0.53,8.46,2,0,19
130,130,202.34,273.64,838.62,940.63,36.08,4940.65,0.52,8.58,2,0,20
131,131,205.98,270.65,843.29,942.23,40.22,4627.73,0.5,9.89,2,0,21
132,132,204.37,270.88,841.87,946.91,33.84,4734.76,0.49,8.73,2,0,22
133,133,206.09,273.22,846.41,945.18,43.22,4191.87,0.5,8.63,2,0,23
134,134,202.56,270.82,846.17,951.64,49.49,4222.92,0.47,8.93,2,0,24
135,135,201.72,276.17,848.17,946.72,40.54,4651.76,0.41,8.84,2,0,25
136,136,206.1,272.25,850.32,952.65,37.78,4272.91,0.41,7.91,2,0,26
137,137,207.07,271.55,851.09,946.83,34.23,3832.79,0.43,8.08,2,0,27
138,138,201.53,271.72,855.46,956.06,36.43,4016.78,0.38,7.9,2,0,28
139,139,205.06,269.88,850.92,955.88,33.25,7248.84,0.41,10.38,2,0,29
140,140,205.13,273.02,853.6,958.72,38.97,6470.21,0.72,8.15,2,0,30
141,141,207.05,268.83,850.65,961.32,39.71,5562.91,0.7,8.77,2,0,31
142,142,202.56,269.5,854.23,959.65,41.39,5020.09,0.64,8.72,2,0,32
143,143,206.14,273.42,848.25,962.17,45.96,4846.74,0.62,9.86,2,0,33
144,144,205.28,275.0,854.8,958.72,34.46,4751.83,0.58,8.05,2,0,34
145,145,201.69,269.97,856.27,961.6,35.93,4219.14,0.56,8.87,2,0,35
146,146,203.3,272.84,855.66,959.37,38.0,4458.21,0.52,7.89,2,0,36
147,147,199.77,272.22,862.35,963.01,34.34,4453.69,0.47,7.17,2,0,37
148,148,203.88,269.63,859.47,959.68,40.4,4674.29,0.43,8.26,2,0,38
149,149,204.77,269.26,865.56,963.22,33.02,3845.45,0.45,8.32,2,0,39
150,150,205.14,268.21,858.92,958.18,43.72,3392.86,0.49,8.99,2,0,40
151,151,203.13,269.7,860.27,961.38,47.03,7157.01,0.45,9.37,2,0,41
152,152,203.4,269.75,859.09,967.41,38.15,5895.47,0.72,4.98,2,0,42
153,153,205.58,271.95,859.06,966.43,35.81,5917.06,0.62,8.46,2,0,43
154,154,205.95,272.26,856.77,969.13,31.96,5494.99,0.59,7.38,2,0,44
155,155,206.54,272.41,854.21,969.11,35.89,4553.08,0.59,7.9,2,0,45
156,156,205.45,270.84,858.49,969.62,33.78,4659.95,0.66,7.38,2,0,46
157,157,200.07,268.0,859.95,968.79,36.89,4319.55,0.64,7.34,2,0,47
158,158,207.44,269.69,858.61,964.52,38.14,4232.27,0.62,9.37,2,0,48
159,159,206.06,272.86,861.39,968.0,37.61,5072.6,0.54,9.23,2,0,49
160,160,205.98,271.51,861.06,964.49,33.22,4991.36,0.53,8.78,2,0,50
161,161,206.91,272.9,862.79,969.65,38.56,4905.83,0.49,9.23,2,0,51
162,162,205.47,274.07,862.82,964.37,36.06,4711.1,0.5,8.77,2,0,52
163,163,204.87,272.37,862.78,965.5,35.8,4636.8,0.47,8.31,2,0,53
164,164,205.81,272.39,862.45,961.04,35.72,4136.82,0.49,9.38,2,0,54
165,165,203.86,272.95,862.46,964.01,36.28,3859.13,0.48,9.77,3,0,0
166,166,202.6,267.65,862.63,964.25,31.71,3334.1,0.51,9.42,3,0,1
167,167,205.28,272.74,859.18,964.63,34.02,7832.94,0.47,11.01,3,0,2
168,168,205.45,271.24,861.07,966.04,33.0,5806.09,0.82,8.14,3,0,3
169,169,205.28,269.92,859.62,965.62,38.03,5805.98,0.73,8.05,3,0,4
170,170,204.72,264.66,861.87,965.35,41.58,4610.1,0.74,9.66,3,0,5
171,171,206.41,273.09,859.34,966.35,35.27,5242.01,0.66,9.43,3,0,6
172,172,204.24,274.02,860.67,962.11,30.32,5383.55,0.61,9.47,3,0,7
173,173,205.15,272.38,863.93,965.25,34.93,7064.16,0.79,10.97,3,0,8
174,174,203.97,272.3,860.67,965.41,40.99,4927.65,0.75,9.32,3,0,9
175,175,202.83,273.15,866.58,965.67,42.8,5112.93,0.68,9.09,3,0,10
176,176,203.39,268.39,863.82,966.31,33.78,4510.36,0.67,8.54,3,0,11
177,177,205.36,269.21,861.85,964.36,32.2,4940.74,0.61,9.6,3,0,12
178,178,203.4,270.15,862.68,962.33,32.26,4911.04,0.58,8.71,3,0,13
179,179,204.42,270.59,863.5,958.36,28.32,4489.18,0.58,8.25,3,0,14
180,180,202.64,270.23,861.81,960.9,27.62,4137.46,0.56,9.59,3,0,15
181,181,203.81,269.94,860.7,959.59,42.04,3678.68,0.57,9.91,3,0,16
182,182,205.23,269.22,863.12,960.79,28.58,3951.33,0.53,9.58,3,0,17
183,183,205.88,255.11,893.63,959.83,32.18,2800.44,0.62,10.21,3,0,18
184,186,220.31,274.19,854.51,926.91,98.32,6326.57,0.58,3.47,3,0,21
185,187,205.93,270.61,859.69,957.37,33.23,4746.11,0.67,8.75,3,0,22
186,188,203.65,269.68,855.84,954.42,25.01,4538.79,0.67,8.87,3,0,23
187,189,205.89,269.52,857.03,955.43,23.52,4691.2,0.64,8.16,3,0,24
188,190,205.41,272.02,855.63,956.08,25.63,5025.89,0.59,7.23,3,0,25
189,191,203.5,248.11,903.6,957.0,29.21,2012.91,0.98,8.92,3,0,26
190,206,240.07,268.63,855.86,893.03,1260.34,3432.94,0.57,1.12,3,0,41
191,213,220.41,269.07,842.25,906.32,96.14,3588.1,0.47,3.41,3,0,48
192,214,202.28,266.26,843.3,934.32,19.09,3365.75,0.48,7.68,3,0,49
193,215,204.35,270.33,844.03,934.38,24.48,3960.89,0.4,8.44,3,0,50
194,216,202.62,265.17,841.85,932.17,30.55,3373.67,0.5,10.67,3,0,51
195,217,203.47,273.43,843.46,929.26,33.44,4275.05,0.43,10.16,3,0,52
196,218,203.1,277.47,840.45,930.82,27.45,4317.32,0.42,11.23,3,0,53
197,219,200.51,269.48,844.84,931.67,32.28,3368.2,0.47,11.18,3,0,54
198,220,204.57,268.33,841.39,931.74,35.1,3143.67,0.49,10.92,4,0,0
199,221,204.83,272.78,838.04,925.51,34.5,4326.25,0.4,11.36,4,0,1
200,222,202.6,267.09,840.47,929.67,28.49,3007.83,0.48,10.21,4,0,2
201,223,203.44,266.38,835.89,928.8,24.02,3467.31,0.43,13.85,4,0,3
202,224,202.05,270.16,839.58,929.32,42.85,3563.99,0.42,10.36,4,0,4
203,225,202.58,276.29,836.06,932.48,42.19,7727.13,0.48,9.53,4,0,5
204,226,201.05,273.63,836.88,924.36,40.21,7240.31,0.93,10.71,4,0,6
205,227,201.48,269.09,832.81,927.13,28.34,6450.34,0.89,11.21,4,0,7
206,228,202.11,267.89,831.19,924.04,31.47,5434.79,0.87,11.32,4,0,8
207,229,200.98,270.58,835.76,927.81,35.93,5819.37,0.8,11.74,4,0,9
208,230,199.8,272.05,831.3,927.82,28.65,5348.59,0.8,12.72,4,0,10
209,231,202.47,267.45,831.73,926.67,38.38,4757.2,0.81,12.43,4,0,11
210,232,198.39,273.33,830.83,924.32,25.35,5624.14,0.75,10.73,4,0,12
211,233,203.24,266.44,826.9,921.12,33.02,4739.14,0.76,12.39,4,0,13
212,234,202.36,263.34,832.08,923.76,34.61,4566.25,0.74,11.42,4,0,14
213,235,204.03,275.64,824.31,919.52,36.16,7155.82,0.77,10.77,4,0,15
214,236,201.1,264.25,829.28,918.7,33.31,6028.19,0.96,10.81,4,0,16
215,237,199.74,272.67,825.13,921.1,25.03,6081.36,0.9,11.59,4,0,17
216,238,201.14,268.2,822.62,911.93,34.01,5477.24,0.87,13.57,4,0,18
217,239,202.04,269.21,818.81,925.54,36.95,5633.78,0.83,10.84,4,0,19
218,240,202.24,269.93,815.47,917.43,37.5,5401.25,0.82,11.44,4,0,20
219,241,200.73,271.96,825.31,920.36,34.18,5077.92,0.79,10.54,4,0,21
220,242,199.48,270.88,821.75,920.42,39.95,4931.37,0.78,15.55,4,0,22
221,243,198.25,262.53,822.91,916.22,39.16,4450.41,0.78,13.93,4,0,23
222,244,200.59,265.45,821.6,920.11,33.17,4473.37,0.76,11.92,4,0,24
223,245,201.7,269.48,816.78,915.24,36.52,7807.77,0.76,11.22,4,0,25
224,246,200.53,266.98,823.85,923.95,33.5,4758.43,0.78,10.4,4,0,26
225,247,200.54,271.22,813.4,917.22,29.46,4483.21,0.74,10.24,4,0,27
226,248,200.64,271.97,816.96,917.28,33.02,4589.65,0.65,12.9,4,0,28
227,249,200.6,261.26,808.66,917.72,35.59,3642.47,0.71,12.02,4,0,29
228,250,199.02,270.24,812.5,919.41,34.29,3719.28,0.65,14.85,4,0,30
229,251,202.07,259.72,812.43,928.92,42.38,3182.87,0.69,10.89,4,0,31
230,252,203.22,268.49,808.0,916.45,31.82,3536.3,0.62,9.38,4,0,32
231,253,199.47,251.04,875.65,923.16,30.67,1401.41,1.08,10.78,4,0,33
232,258,221.46,271.54,798.95,868.43,103.16,3240.24,0.49,3.94,4,0,38
233,259,201.37,268.0,791.32,922.08,27.47,3109.23,0.52,9.2,4,0,39
234,260,198.67,271.24,790.64,926.65,25.67,5860.26,0.59,7.74,4,0,40
235,261,203.56,266.9,786.33,921.51,32.3,4627.4,0.79,6.8,4,0,41
236,262,204.22,266.31,794.86,917.54,21.58,4343.73,0.73,8.86,4,0,42
237,263,200.9,268.14,796.2,919.06,23.61,4781.98,0.62,7.79,4,0,43
238,264,203.88,269.39,793.31,910.74,29.08,4540.11,0.62,9.04,4,0,44
239,265,203.78,270.34,794.87,911.48,22.23,4428.82,0.55,7.68,4,0,45
240,266,205.36,266.12,794.02,909.92,30.63,4217.39,0.55,7.98,4,0,46
241,267,197.87,268.55,794.79,906.69,31.84,4021.77,0.53,7.68,4,0,47
242,268,201.03,268.43,795.56,906.11,29.06,3723.02,0.54,7.93,4,0,48
243,269,206.31,269.54,791.48,904.0,33.29,3737.63,0.51,8.27,4,0,49
244,270,204.47,267.38,795.26,904.69,35.18,3490.77,0.52,10.24,4,0,50
245,271,204.24,269.27,794.14,902.95,26.9,3263.85,0.52,10.4,4,0,51
246,272,202.2,271.3,794.36,902.63,44.19,6772.99,0.6,10.65,4,0,52
247,273,199.57,270.88,795.49,902.35,31.64,5577.11,0.69,6.85,4,0,53
248,274,202.74,268.89,794.62,901.67,28.9,4584.77,0.66,7.73,4,0,54
249,275,200.85,269.67,795.51,899.3,30.27,4639.87,0.61,10.15,5,0,0
250,276,203.27,268.0,794.83,898.6,33.14,4377.64,0.64,11.06,5,0,1
251,277,201.49,271.67,797.87,899.29,25.05,4309.77,0.6,10.91,5,0,2
252,278,200.04,271.32,798.16,900.58,27.07,3718.85,0.65,9.4,5,0,3
253,279,198.07,269.63,796.18,896.46,32.99,3810.13,0.62,9.22,5,0,4
254,280,196.84,270.97,798.06,897.42,26.31,6153.2,0.75,11.23,5,0,5
255,281,201.4,269.59,797.23,896.27,28.9,5806.11,0.71,10.44,5,0,6
256,282,202.78,270.35,799.05,893.33,30.67,4166.8,0.76,10.51,5,0,7
257,283,202.39,272.75,799.32,892.97,27.38,4736.56,0.66,9.81,5,0,8
258,284,199.2,268.43,797.88,891.32,28.51,4347.14,0.64,7.7,5,0,9
259,285,200.3,269.49,799.19,894.95,30.31,4103.15,0.64,9.16,5,0,10
260,286,194.58,257.53,798.47,894.57,31.91,2411.36,0.87,10.05,5,0,11
261,287,199.06,264.0,795.49,890.61,31.71,2769.77,0.76,13.81,5,0,12
262,288,201.57,265.36,797.38,888.2,23.08,4175.89,0.55,11.5,5,0,13
263,289,198.36,269.0,799.72,889.81,26.91,4079.36,0.52,11.97,5,0,14
264,290,195.47,265.65,799.33,886.92,27.99,5004.4,0.74,10.33,5,0,15
265,291,195.06,264.43,802.1,890.66,29.65,4033.62,0.84,11.18,5,0,16
266,292,199.01,267.74,799.53,890.66,25.7,4308.98,0.73,12.44,5,0,17
267,293,202.39,270.53,794.79,890.44,30.33,4733.76,0.64,10.71,5,0,18
268,294,202.59,263.31,794.95,889.64,28.83,4202.2,0.63,10.5,5,0,19
269,295,201.78,267.8,797.18,887.36,31.52,3897.05,0.62,8.74,5,0,20
270,296,197.02,268.77,798.72,885.95,24.28,3390.24,0.63,8.0,5,0,21
271,297,196.67,264.25,798.94,884.38,30.19,3578.03,0.59,8.44,5,0,22
272,298,199.75,265.43,803.04,889.15,33.6,2821.71,0.65,8.83,5,0,23
273,299,200.28,267.39,798.86,887.38,27.8,3826.13,0.52,13.87,5,0,24
274,300,201.55,266.5,796.78,888.57,27.65,5139.51,0.65,11.63,5,0,25
275,301,203.05,264.13,796.52,888.85,22.59,4728.45,0.78,13.93,5,0,26
276,302,201.24,265.43,794.48,886.42,26.0,3934.09,0.76,10.39,5,0,27
277,303,201.43,260.18,794.64,884.1,31.44,3575.45,0.74,11.69,5,0,28
278,304,201.89,260.08,800.95,887.85,29.17,2414.27,0.86,12.75,5,0,29
279,305,199.78,262.11,797.7,884.66,23.83,2531.64,0.82,13.21,5,0,30
280,306,199.14,263.76,801.49,886.07,19.72,2682.2,0.83,15.29,5,0,31
281,307,199.62,257.62,797.94,890.45,25.3,2012.14,0.98,13.73,5,0,32
282,308,201.68,269.77,795.83,890.27,23.79,3507.73,0.67,10.33,5,0,33
283,309,192.88,269.7,795.56,891.07,19.67,3559.41,0.61,9.34,5,0,34
284,310,200.22,271.06,793.5,888.87,23.58,5363.39,0.86,10.77,5,0,35
285,311,200.33,269.15,796.17,887.1,24.01,4888.11,0.74,11.8,5,0,36
286,312,197.77,268.94,796.91,888.28,18.66,3771.73,0.8,11.58,5,0,37
287,313,200.18,268.09,799.63,887.5,19.9,3960.99,0.7,12.07,5,0,38
288,314,194.79,267.61,798.03,884.2,19.7,3523.69,0.73,12.0,5,0,39
289,315,190.56,264.71,799.66,886.02,23.45,3273.39,0.73,13.55,5,0,40
290,316,192.79,267.95,796.66,888.18,20.18,2918.86,0.76,11.48,5,0,41
291,317,201.42,269.66,798.66,891.77,19.52,3452.58,0.64,13.69,5,0,42
292,318,197.69,263.51,797.82,890.62,19.44,3597.04,0.57,11.83,5,0,43
293,319,198.75,267.72,797.82,887.49,18.05,3410.26,0.58,16.13,5,0,44
294,320,191.43,265.28,798.85,886.42,23.31,5322.49,0.68,11.64,5,0,45
295,321,192.63,268.46,799.66,885.09,19.27,4870.14,0.76,10.32,5,0,46
296,322,193.03,270.44,798.59,886.83,24.98,4712.33,0.67,15.7,5,0,47
297,323,197.8,267.39,801.73,891.12,21.09,4703.04,0.62,18.69,5,0,48
298,324,196.27,268.28,800.7,889.63,15.12,3858.98,0.65,16.23,5,0,49
299,325,196.23,265.69,804.28,891.61,24.48,3605.62,0.63,15.61,5,0,50
300,326,195.99,264.71,803.38,890.59,19.5,3357.66,0.65,14.48,5,0,51
301,327,189.26,263.83,802.17,890.98,21.07,3477.33,0.59,14.54,5,0,52
302,328,193.35,265.65,804.04,894.44,14.7,3482.97,0.56,14.36,5,0,53
303,329,195.06,265.49,796.99,889.11,16.42,3599.46,0.52,15.05,5,0,54
304,330,196.15,265.85,797.5,892.38,18.68,3192.85,0.56,17.04,6,0,0
305,331,197.68,266.9,799.98,890.51,17.8,5507.81,0.69,17.8,6,0,1
306,332,192.85,267.17,804.62,889.53,18.14,4612.37,0.73,18.99,6,0,2
307,333,188.62,265.39,803.17,889.64,17.57,4126.54,0.7,17.1,6,0,3
308,334,195.08,260.12,805.3,888.53,16.41,3746.49,0.69,12.53,6,0,4
309,335,195.51,266.02,807.12,891.1,17.1,4211.49,0.6,13.21,6,0,5
310,336,196.58,266.25,804.09,897.84,20.1,3691.09,0.69,18.29,6,0,6
311,337,194.91,265.58,804.8,892.24,21.41,4253.94,0.61,19.12,6,0,7
312,338,195.43,263.15,803.77,891.87,16.31,3349.33,0.67,14.56,6,0,8
313,339,193.49,263.35,803.78,889.86,19.17,3391.55,0.64,13.08,6,0,9
314,340,198.25,260.43,804.61,889.82,19.85,4628.01,0.73,12.57,6,0,10
315,341,191.95,267.78,806.14,896.38,23.97,4904.5,0.77,16.62,6,0,11
316,342,196.67,261.64,807.43,893.78,23.33,3698.27,0.82,14.08,6,0,12
